minimum_nights,number_of_reviews,reviews_per_month,availability_365,price
7,3,0.12,0,50
7,0,1.3732214298586618,6,285
1,0,1.3732214298586618,0,100
2,1,0.71,167,25
3,29,1.96,6,299
2,6,2.14,61,175
1,7,0.35,139,33
14,0,1.3732214298586618,23,1250
11,27,0.9,212,47
5,0,1.3732214298586618,0,100
1,0,1.3732214298586618,0,39
1,30,1.15,6,43
4,2,0.13,0,275
2,8,0.22,0,300
4,0,1.3732214298586618,0,150
2,14,0.21,16,88
28,49,0.53,313,75
1,8,5.11,74,44
2,0,1.3732214298586618,364,125
1,8,8.0,342,70
1,15,0.85,0,34
3,234,2.47,308,80
1,6,0.8,0,57
1,2,2.0,133,305
3,10,0.21,0,150
3,7,0.31,0,200
3,0,1.3732214298586618,140,299
1,0,1.3732214298586618,0,65
4,30,0.65,0,200
2,0,1.3732214298586618,0,75
2,0,1.3732214298586618,0,50
5,12,0.7,67,40
1,25,2.43,317,73
1,1,1.0,16,200
1,165,4.64,365,48
30,0,1.3732214298586618,346,225
2,349,5.54,13,80
3,28,2.64,0,60
1,16,0.19,351,121
3,250,5.36,111,135
45,3,0.07,21,73
2,47,4.15,0,70
2,77,2.17,264,49
3,0,1.3732214298586618,0,60
3,8,0.16,0,245
29,0,1.3732214298586618,283,375
2,9,1.58,357,38
1,3,0.53,362,229
28,1,0.16,257,714
1,38,2.61,0,75
3,12,0.13,343,165
3,4,0.33,109,100
30,0,1.3732214298586618,266,150
1,0,1.3732214298586618,88,60
1,103,4.02,133,28
15,1,0.02,0,55
1,160,4.31,246,129
5,8,0.77,179,35
1,0,1.3732214298586618,0,50
5,0,1.3732214298586618,365,350
4,77,2.45,258,150
4,126,1.16,290,219
3,21,0.86,0,67
25,3,0.05,161,130
1,119,3.29,316,150
3,1,0.05,0,200
3,24,0.4,19,80
3,154,1.63,305,130
3,55,3.68,63,79
1,5,0.1,0,160
1,55,1.46,0,75
3,88,3.36,189,78
3,11,0.19,0,125
1,2,2.0,161,290
5,1,0.07,0,120
30,2,0.07,336,160
5,0,1.3732214298586618,0,82
2,21,2.04,51,60
2,10,0.13,0,250
2,8,0.37,86,325
2,56,5.62,27,32
2,20,0.42,0,210
2,36,1.6,286,40
30,0,1.3732214298586618,0,200
3,70,2.9,178,139
1,50,0.5,188,229
1,102,2.56,269,89
3,480,6.7,0,60
1,0,1.3732214298586618,78,170
20,1,0.08,0,41
4,0,1.3732214298586618,0,95
31,0,1.3732214298586618,0,50
15,6,0.49,17,160
2,6,1.48,325,196
1,141,2.99,348,70
2,34,1.89,117,60
7,17,1.27,66,50
3,31,0.73,0,83
3,14,1.24,361,36
30,3,0.06,342,115
5,8,0.25,0,120
29,2,0.29,1,40
1,14,2.02,12,68
2,97,2.03,22,80
1,1,0.02,0,150
2,0,1.3732214298586618,0,180
1,22,5.64,38,67
1,5,0.27,163,100
4,19,0.24,43,69
25,20,0.9,365,65
3,20,0.54,27,30
1,180,4.88,125,125
3,1,1.0,46,200
1,0,1.3732214298586618,188,180
14,7,0.15,21,67
3,4,0.63,348,250
1,21,0.86,188,50
30,6,0.07,363,275
30,0,1.3732214298586618,310,225
5,69,2.62,137,90
3,20,0.92,313,496
2,15,2.81,344,65
4,5,0.13,0,194
3,42,1.22,290,65
1,7,0.14,0,80
2,84,3.19,119,65
1,4,0.36,0,77
2,68,2.33,9,100
10,51,0.86,64,120
2,69,5.27,39,150
3,81,0.71,198,140
1,6,6.0,362,85
2,110,4.75,222,120
1,41,1.62,8,49
1,18,0.31,0,175
2,2,0.06,220,80
30,0,1.3732214298586618,0,165
1,222,4.98,290,85
6,14,0.53,339,85
4,34,1.23,18,56
1,4,0.64,8,140
3,26,0.32,19,130
2,19,1.58,32,130
2,4,0.11,0,115
1,0,1.3732214298586618,365,400
2,19,1.51,81,171
2,134,2.95,36,150
2,143,2.13,263,53
1,8,0.75,0,79
3,1,0.04,0,112
2,22,6.23,341,300
1,194,5.88,0,65
3,10,0.43,0,199
30,0,1.3732214298586618,365,200
1,3,0.11,0,30
1,105,4.57,274,200
2,3,0.07,0,127
5,70,0.88,236,42
1,54,3.07,0,60
2,29,0.86,55,103
1,14,0.83,310,37
2,2,0.11,0,150
20,2,0.42,333,27
3,70,1.51,338,300
30,2,0.82,0,55
1,161,4.42,165,110
2,50,1.15,0,110
2,3,0.08,0,99
2,5,1.53,0,60
2,8,2.42,75,40
5,0,1.3732214298586618,0,150
3,20,0.59,15,115
1,129,3.75,299,99
2,4,1.08,298,188
30,3,0.08,365,129
27,0,1.3732214298586618,365,337
3,0,1.3732214298586618,0,73
1,109,1.11,364,95
1,6,0.57,90,43
2,12,3.4,14,130
25,8,0.36,0,80
3,24,0.71,131,200
3,0,1.3732214298586618,161,400
1,27,0.28,311,165
3,0,1.3732214298586618,0,150
30,0,1.3732214298586618,0,145
1,4,0.21,0,85
1,4,0.12,0,42
2,5,0.24,310,90
4,0,1.3732214298586618,0,110
1,4,1.26,267,150
1,81,2.64,158,75
3,118,8.06,4,50
2,29,1.58,38,250
30,0,1.3732214298586618,201,335
29,1,1.0,281,185
2,0,1.3732214298586618,6,65
3,7,3.28,242,169
30,0,1.3732214298586618,340,48
3,2,0.08,84,100
30,4,0.26,220,58
2,3,0.11,342,86
30,4,0.18,282,200
1,8,1.36,342,299
1,0,1.3732214298586618,0,300
3,26,0.51,96,250
2,0,1.3732214298586618,0,200
30,0,1.3732214298586618,365,200
1,46,2.16,46,55
5,0,1.3732214298586618,23,168
6,3,0.13,12,175
1,3,2.05,357,299
3,4,0.09,0,95
1,0,1.3732214298586618,0,140
3,326,3.96,90,100
1,3,0.55,0,65
5,0,1.3732214298586618,0,303
2,27,4.38,137,110
5,0,1.3732214298586618,24,50
2,2,0.08,0,160
30,2,0.48,0,55
2,71,0.9,199,125
1,4,0.25,270,179
1,72,1.37,257,259
2,0,1.3732214298586618,0,69
30,0,1.3732214298586618,365,200
4,6,0.13,2,60
2,2,0.11,0,150
2,13,1.49,361,70
4,10,0.42,0,225
30,1,0.21,246,33
2,1,0.03,0,48
4,59,1.56,37,240
5,1,0.05,0,80
2,20,0.73,0,131
4,18,1.44,82,55
2,4,1.88,188,40
4,21,0.34,129,55
2,0,1.3732214298586618,49,75
3,6,0.26,0,116
5,0,1.3732214298586618,53,250
30,3,0.1,180,61
2,169,4.48,279,136
4,11,0.77,63,175
3,4,0.07,0,155
14,1,0.16,320,35
1,88,5.14,339,85
3,61,0.53,272,105
2,12,1.4,220,800
1,1,0.1,0,110
7,0,1.3732214298586618,0,169
1,2,0.04,0,97
20,14,2.04,315,250
30,0,1.3732214298586618,312,128
1,7,0.22,358,80
1,69,2.35,87,56
2,55,2.97,281,50
3,4,0.22,76,187
3,88,2.25,303,120
1,25,1.35,177,60
2,1,1.0,327,159
1,72,4.08,307,105
3,54,3.68,69,90
17,0,1.3732214298586618,0,37
30,0,1.3732214298586618,365,450
3,49,1.58,1,180
1,190,2.64,359,59
2,51,4.23,219,98
1,30,3.66,6,120
10,0,1.3732214298586618,49,140
2,2,0.08,0,198
5,0,1.3732214298586618,0,32
2,65,2.88,361,54
1,0,1.3732214298586618,0,180
1,68,6.54,168,70
29,0,1.3732214298586618,0,120
30,0,1.3732214298586618,364,55
2,134,3.42,66,119
15,0,1.3732214298586618,0,150
2,0,1.3732214298586618,324,176
3,0,1.3732214298586618,7,750
1,2,0.05,0,60
2,280,2.92,257,99
1,30,3.61,144,145
1,0,1.3732214298586618,0,2000
2,0,1.3732214298586618,0,100
1,0,1.3732214298586618,363,150
2,78,2.24,270,221
2,0,1.3732214298586618,64,190
12,17,0.74,32,53
21,0,1.3732214298586618,0,45
2,7,0.16,0,60
10,0,1.3732214298586618,83,210
2,8,0.31,0,275
5,0,1.3732214298586618,0,100
1,9,3.42,55,68
30,2,0.04,342,175
1,59,1.9,188,53
1,4,0.44,365,250
2,56,0.94,1,70
5,0,1.3732214298586618,38,145
1,0,1.3732214298586618,179,70
2,7,1.35,0,88
1,67,3.63,146,145
7,0,1.3732214298586618,0,90
7,0,1.3732214298586618,0,180
2,23,4.51,60,125
5,3,0.4,0,59
5,6,0.44,90,125
2,4,0.17,0,150
3,0,1.3732214298586618,32,185
2,17,0.55,190,105
2,3,3.0,0,72
1,41,2.24,132,60
2,31,4.13,272,140
5,0,1.3732214298586618,0,55
1,126,3.21,318,359
2,33,4.21,227,201
2,6,1.94,20,65
2,3,0.08,0,245
3,24,0.44,69,125
2,11,0.3,212,150
1,34,1.38,87,100
2,2,0.32,180,60
2,27,0.42,190,45
10,3,0.22,284,168
2,4,0.18,177,60
5,3,0.04,0,150
1,4,0.11,0,80
2,88,5.69,107,79
28,5,0.26,297,65
5,3,0.16,0,75
1,4,0.7,162,150
2,20,0.84,27,110
1,0,1.3732214298586618,0,95
2,22,3.55,230,125
2,1,0.02,0,100
30,0,1.3732214298586618,365,285
2,0,1.3732214298586618,87,300
2,10,3.85,62,75
7,0,1.3732214298586618,0,35
15,3,0.47,354,40
1,0,1.3732214298586618,0,186
1,1,0.03,0,69
1,129,5.11,95,60
60,0,1.3732214298586618,0,65
2,52,2.7,67,90
3,8,0.31,0,45
2,5,1.83,0,26
2,0,1.3732214298586618,89,79
3,37,0.48,47,88
1,0,1.3732214298586618,158,215
10,0,1.3732214298586618,0,110
1,0,1.3732214298586618,0,175
2,0,1.3732214298586618,365,250
3,1,0.42,310,86
2,8,3.93,19,65
30,0,1.3732214298586618,125,60
3,1,0.16,2,130
2,292,4.95,186,140
1,17,0.31,362,227
7,1,0.16,153,225
20,0,1.3732214298586618,365,43
1,20,4.88,227,45
5,0,1.3732214298586618,318,250
3,1,1.0,264,495
2,0,1.3732214298586618,0,640
2,40,1.54,285,375
2,3,0.29,0,180
3,162,2.15,300,125
3,25,2.62,30,400
30,1,0.11,342,40
2,0,1.3732214298586618,17,280
1,4,0.07,0,54
3,20,0.89,173,110
31,3,0.19,281,200
5,8,0.48,0,66
1,1,0.05,0,150
3,17,0.48,31,153
3,0,1.3732214298586618,38,90
2,287,3.69,284,399
3,2,1.13,4,168
1,92,4.96,357,70
5,143,1.38,316,390
30,0,1.3732214298586618,364,350
2,0,1.3732214298586618,229,450
2,2,0.73,350,228
1,0,1.3732214298586618,365,450
5,1,0.16,23,98
2,11,0.57,0,100
2,46,0.54,301,49
3,92,3.4,172,47
1,0,1.3732214298586618,0,80
2,249,3.63,172,99
2,0,1.3732214298586618,224,35
2,8,2.29,44,55
3,31,1.01,0,45
8,37,0.5,280,68
1,13,8.48,213,250
3,4,0.53,0,85
3,0,1.3732214298586618,362,100
1,2,0.08,0,39
1,1,0.02,0,125
2,0,1.3732214298586618,74,299
5,14,0.45,9,230
1,216,8.07,43,100
1,34,0.91,180,69
30,4,0.31,232,85
6,0,1.3732214298586618,332,100
2,151,3.46,0,100
2,2,0.06,0,150
1,0,1.3732214298586618,0,60
3,150,3.85,320,99
3,16,0.52,33,255
3,2,1.43,33,260
3,149,2.33,242,179
3,7,2.26,5,90
2,105,1.13,304,400
4,29,3.36,205,230
3,1,0.04,0,130
1,1,0.39,23,100
5,2,0.05,0,225
7,0,1.3732214298586618,0,90
2,30,1.62,94,64
2,30,1.31,0,45
3,0,1.3732214298586618,157,90
1,0,1.3732214298586618,0,75
2,28,3.98,0,250
30,0,1.3732214298586618,365,27
2,9,2.37,50,175
7,5,0.16,0,35
2,7,1.93,125,282
2,2,0.32,0,57
3,22,0.4,39,175
1,49,2.4,276,120
2,4,0.3,0,157
3,0,1.3732214298586618,191,480
13,12,0.58,74,90
21,0,1.3732214298586618,0,73
8,15,0.19,0,179
1,38,6.44,142,99
1,51,1.05,0,150
1,6,0.13,363,73
1,0,1.3732214298586618,0,60
5,1,0.09,0,170
7,8,0.64,271,100
1,0,1.3732214298586618,0,70
3,2,0.04,0,175
3,67,0.7,129,170
2,7,0.13,0,73
7,1,0.02,0,70
30,0,1.3732214298586618,364,195
30,6,0.15,225,99
3,36,4.37,274,165
1,25,0.88,329,145
4,1,0.05,0,250
1,1,0.02,27,74
1,138,5.31,34,89
7,1,0.02,0,50
29,0,1.3732214298586618,341,137
6,5,0.19,108,400
2,2,2.0,241,150
1,203,2.87,32,139
10,8,0.17,0,90
1,42,5.12,207,38
1,64,3.59,332,300
1,8,0.96,64,33
7,1,1.0,0,150
1,24,1.08,27,150
2,6,0.92,321,200
2,1,0.03,0,149
1,2,0.1,0,31
1,5,0.14,0,599
1,0,1.3732214298586618,12,90
3,6,0.2,0,119
7,21,1.91,54,88
30,2,0.05,312,175
2,3,0.15,0,100
7,0,1.3732214298586618,0,70
5,1,0.02,0,70
1,2,0.12,0,45
30,1,0.02,342,150
1,0,1.3732214298586618,0,125
1,2,0.04,0,59
7,9,0.35,0,170
1,0,1.3732214298586618,171,60
1,3,0.22,179,120
1,1,0.06,79,1000
4,0,1.3732214298586618,0,70
3,0,1.3732214298586618,362,65
29,0,1.3732214298586618,330,212
21,5,0.08,221,105
1,117,3.09,18,85
3,30,1.68,285,179
2,68,2.51,125,99
4,5,1.5,0,30
1,20,1.27,89,75
3,7,0.69,0,199
2,0,1.3732214298586618,0,55
2,68,4.54,337,91
14,0,1.3732214298586618,341,32
1,191,3.17,0,130
5,10,0.17,0,150
4,0,1.3732214298586618,0,90
1,3,0.08,0,90
3,0,1.3732214298586618,0,275
2,42,5.21,90,110
30,0,1.3732214298586618,179,1750
1,90,4.35,77,60
3,26,0.52,0,185
5,2,0.23,15,200
4,0,1.3732214298586618,189,55
10,0,1.3732214298586618,21,100
6,2,0.19,19,160
3,4,0.08,0,100
30,2,2.0,361,89
2,11,0.47,0,200
1,103,5.94,19,60
9,9,0.13,0,150
5,16,0.33,299,150
2,10,2.26,330,404
1,108,3.62,130,165
4,8,0.85,290,34
1,41,1.87,3,110
1,0,1.3732214298586618,31,67
2,86,3.83,115,80
2,35,3.85,176,59
2,3,1.48,167,58
1,1,0.04,0,54
15,66,0.69,89,199
30,2,0.03,365,130
1,193,4.87,270,135
30,0,1.3732214298586618,353,200
30,29,0.4,222,80
1,3,0.18,0,109
3,3,0.08,16,250
4,14,1.98,33,85
2,47,1.22,318,120
2,1,0.16,87,35
1,35,2.34,94,60
1,0,1.3732214298586618,0,70
4,0,1.3732214298586618,0,200
1,79,3.56,178,58
3,54,1.26,331,89
